"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13120","Verify that the report 'Check 5 attributes' is not created when a user clicks 'Cancel' button","create, view, delete Report","2026-05-07","passed","2026-05-07","","Report is not created","",""
"","12171","action menu","Smoke tests","2026-05-07","passed","2026-05-07","","SchedulerPage","",""
"","12033","Verify that data is filtered by format HTML","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","13205","create","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
"","14944","Verify that data is sorted by Creator descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting","Tests with presetup","",""
"","18398","Verify that data is sorted by Scheduled Time ascending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","13664","Verify that data is filtered by report name 'Check 5 attributes' and by Int","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","12698","Verify that check5attr reports is sorted by Date ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","17845","Verify that check5attr reports is sorted by Int descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","43784","Verify that Scheduler 'Check 5 attributes' is created filling all fields","create, view, Scheduler","2026-05-07","failed","2026-05-07","","Create Scheduler","",""
"","41806","Verify that the report 'Check many attributes' is created by filling all fields","create, view, delete Report","2026-05-07","failed","2026-05-07","","Create report with all fields filled","",""
"","13042","Verify that the report 'Check many attributes' is created by filling only mandatory fields","create, view, delete Report","2026-05-07","passed","2026-05-07","","Create report with only mandatory fields filled (without deletion)","",""
"","18591","Verify that data is filtered by Report type Check 5 attributes","create, view, Scheduler","2026-05-07","passed","2026-05-07","Verify that data is filtered by Report type Check 5 attributes","Filter by data","",""
"","15267","Verify that data is filtered by Format HTML","create, view, Scheduler","2026-05-07","passed","2026-05-07","Verify that data is filtered by Format HTML","Filter by data","",""
"","13847","Verify that data is sorted by Creation Time ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting","Tests with presetup","",""
"","11847","start page","Smoke tests","2026-05-07","passed","2026-05-07","","SchedulerPage","",""
"","18815","Verify that data is filtered by Report type Check many attributes","create, view, Scheduler","2026-05-07","passed","2026-05-07","Verify that data is filtered by Report type Check many attributes","Filter by data","",""
"","11165","Verify button 'Create' in report 'Check 5 attributes' does not exist in Dom when mandatory field 'Language' is not filled","create, view, delete Report","2026-05-07","passed","2026-05-07","","Report is not created","",""
"","9734","Test postcondition: delete created reports","create, view, delete Report","2026-05-07","passed","2026-05-07","Test postcondition: data deletion","Tests with presetup","",""
"","14808","Verify that data is filtered by Interval Weekly","create, view, Scheduler","2026-05-07","passed","2026-05-07","Verify that data is filtered by Interval Weekly","Filter by data","",""
